nom,intérêts,niveau,competences,domaine
Personne 1,"[""CSS""]",Avancé,"[""Tableau"", ""HTML"", ""R\u00e9solution de probl\u00e8mes"", ""R""]",Développement Web
Personne 2,"[""JavaScript"", ""React"", ""Node.js""]",Débutant,"[""Excel"", ""Git""]",Data Science
Personne 3,"[""SQL"", ""Web Development""]",Avancé,"[""Analyse de donn\u00e9es"", ""HTML"", ""Power BI"", ""Tableau"", ""Communication""]",Marketing Digital
Personne 4,"[""JavaScript"", ""SQL""]",Avancé,"[""Azure"", ""Python"", ""Communication"", ""Docker""]",Développement Web
Personne 5,"[""SQL""]",Avancé,"[""AWS"", ""Tableau""]",Développement Web
Personne 6,"[""Angular""]",Débutant,"[""Azure"", ""Tableau"", ""Gestion de projet"", ""CSS""]",Marketing Digital
Personne 7,"[""Big Data""]",Intermédiaire,"[""HTML"", ""Docker"", ""Azure"", ""R""]",Marketing Digital
Personne 8,"[""Cloud Computing"", ""CSS""]",Intermédiaire,"[""Azure"", ""Docker"", ""CSS"", ""Git""]",Développement Web
Personne 9,"[""Python""]",Débutant,"[""Python"", ""Google Cloud""]",Développement Web
Personne 10,"[""Computer Vision""]",Avancé,"[""Python"", ""R"", ""Tableau"", ""Azure""]",Informatique
Personne 11,"[""Python""]",Intermédiaire,"[""Communication"", ""Tableau"", ""Docker"", ""Python""]",Développement Web
Personne 12,"[""Python"", ""Cloud Computing""]",Débutant,"[""AWS"", ""Excel""]",Marketing Digital
Personne 13,"[""JavaScript"", ""SQL"", ""NLP""]",Avancé,"[""Docker"", ""R"", ""Excel"", ""Git"", ""SQL""]",Gestion de Projet
Personne 14,"[""Big Data"", ""Computer Vision""]",Intermédiaire,"[""Docker"", ""Communication""]",Gestion de Projet
Personne 15,"[""Cloud Computing"", ""CSS""]",Avancé,"[""Azure"", ""JavaScript"", ""SQL"", ""R""]",Développement Web
Personne 16,"[""Node.js"", ""Data Analysis""]",Avancé,"[""SQL"", ""CSS"", ""HTML"", ""Google Cloud""]",Gestion de Projet
Personne 17,"[""Angular""]",Intermédiaire,"[""HTML"", ""Analyse de donn\u00e9es"", ""Google Cloud"", ""SQL"", ""Tableau""]",Informatique
Personne 18,"[""Machine Learning"", ""SQL"", ""NLP""]",Intermédiaire,"[""Python"", ""R"", ""Docker"", ""HTML"", ""Gestion de projet""]",Marketing Digital
Personne 19,"[""JavaScript"", ""IA"", ""Machine Learning""]",Avancé,"[""CSS"", ""R\u00e9solution de probl\u00e8mes"", ""R"", ""JavaScript""]",Développement Web
Personne 20,"[""SQL"", ""IA""]",Débutant,"[""Power BI"", ""Python"", ""R""]",Informatique
Personne 21,"[""Big Data"", ""NLP"", ""HTML""]",Débutant,"[""Azure"", ""R\u00e9solution de probl\u00e8mes""]",Gestion de Projet
Personne 22,"[""HTML""]",Intermédiaire,"[""Tableau"", ""AWS"", ""Analyse de donn\u00e9es""]",Informatique
Personne 23,"[""React"", ""IA""]",Débutant,"[""Google Cloud"", ""Excel"", ""HTML""]",Data Science
Personne 24,"[""Node.js"", ""JavaScript"", ""SQL""]",Débutant,"[""Git"", ""Google Cloud"", ""R"", ""Azure"", ""CSS""]",Informatique
Personne 25,"[""SQL""]",Débutant,"[""SQL"", ""AWS"", ""Gestion de projet"", ""R\u00e9solution de probl\u00e8mes""]",Développement Web
Personne 26,"[""JavaScript""]",Avancé,"[""Azure"", ""JavaScript"", ""R\u00e9solution de probl\u00e8mes"", ""Gestion de projet"", ""Python""]",Gestion de Projet
Personne 27,"[""Computer Vision"", ""Cloud Computing"", ""Angular""]",Intermédiaire,"[""R\u00e9solution de probl\u00e8mes"", ""Excel"", ""R""]",Data Science
Personne 28,"[""HTML"", ""CSS""]",Avancé,"[""R"", ""SQL"", ""CSS""]",Marketing Digital
Personne 29,"[""NLP"", ""JavaScript""]",Intermédiaire,"[""Gestion de projet"", ""Communication""]",Data Science
Personne 30,"[""Big Data"", ""HTML"", ""Machine Learning""]",Avancé,"[""R\u00e9solution de probl\u00e8mes"", ""HTML""]",Développement Web
Personne 31,"[""JavaScript"", ""Cloud Computing"", ""Python""]",Débutant,"[""Python"", ""SQL"", ""Tableau"", ""Excel""]",Développement Web
Personne 32,"[""Node.js""]",Avancé,"[""Gestion de projet"", ""Git""]",Informatique
Personne 33,"[""Big Data"", ""React"", ""HTML""]",Débutant,"[""Tableau"", ""Docker""]",Développement Web
